time	V(a)	V(b)	V(c)
3.364746495369377e-002	5.000000e+000	8.813376e-001	4.441551e-008
3.368652745369376e-002	5.000000e+000	7.836814e-001	3.929358e-008
3.372558995369376e-002	5.000000e+000	6.860251e-001	2.761544e-008
3.376465245369376e-002	5.000000e+000	5.883689e-001	2.504180e-008
3.380371495369376e-002	5.000000e+000	4.907126e-001	2.242200e-008
3.384277745369376e-002	5.000000e+000	3.930564e-001	2.225909e-008
3.388183995369376e-002	5.000000e+000	2.954001e-001	2.573881e-006
3.388525617100335e-002	5.000000e+000	2.868596e-001	1.872086e-006
3.389208860562253e-002	5.000000e+000	2.697785e-001	2.217625e-008
3.390575347486088e-002	5.000000e+000	2.356163e-001	2.229428e-008
3.390916969217047e-002	5.000000e+000	2.270758e-001	2.228055e-008
3.391600212678965e-002	5.000000e+000	2.099947e-001	2.219397e-008
3.392966699602801e-002	5.000000e+000	1.758325e-001	2.219359e-008
3.393308321333759e-002	5.000000e+000	1.672920e-001	2.219367e-008
3.400000000000000e-002	5.000000e+000	0.000000e+000	2.219404e-008
3.521286960771504e-002	5.000000e+000	0.000000e+000	2.219405e-008
3.997849460771494e-002	5.000000e+000	0.000000e+000	2.219405e-008
4.000000000000000e-002	5.000000e+000	0.000000e+000	2.219405e-008
