time	V(a1)	V(b1)	V(cin)	V(cout)	V(s)
2.079481544760607e-002	1.987039e+000	5.000000e+000	2.051845e+000	5.000000e+000	1.879442e-001
2.079481725072154e-002	1.987043e+000	5.000000e+000	2.051828e+000	5.000000e+000	1.879456e-001
2.079481905383702e-002	1.987048e+000	5.000000e+000	2.051810e+000	5.000000e+000	1.879470e-001
2.079482202367427e-002	1.987055e+000	5.000000e+000	2.051780e+000	5.000000e+000	1.879492e-001
2.079482796334876e-002	1.987070e+000	5.000000e+000	2.051720e+000	5.000000e+000	1.879537e-001
2.079483984269776e-002	1.987100e+000	5.000000e+000	2.051602e+000	5.000000e+000	1.879628e-001
2.079486360139576e-002	1.987159e+000	5.000000e+000	2.051364e+000	5.000000e+000	1.879810e-001
2.079491111879174e-002	1.987278e+000	5.000000e+000	2.050889e+000	5.000000e+000	1.880172e-001
2.079498964547021e-002	1.987474e+000	5.000000e+000	2.050104e+000	5.000000e+000	1.880772e-001
2.079512386329091e-002	1.987810e+000	5.000000e+000	2.048761e+000	5.000000e+000	1.881796e-001
2.079518203329109e-002	1.987955e+000	5.000000e+000	2.048180e+000	5.000000e+000	1.882240e-001
2.079522000643412e-002	1.988050e+000	5.000000e+000	2.047800e+000	4.999998e+000	1.882531e-001
2.079524184221970e-002	1.988105e+000	5.000000e+000	2.047582e+000	4.999996e+000	1.882700e-001
2.079525606126647e-002	1.988140e+000	5.000000e+000	2.047439e+000	4.999996e+000	1.882809e-001
2.079527078109409e-002	1.988177e+000	5.000000e+000	2.047292e+000	4.999999e+000	1.882916e-001
2.079527276554973e-002	1.988182e+000	5.000000e+000	2.047272e+000	5.000000e+000	1.882931e-001
2.079527673446100e-002	1.988192e+000	5.000000e+000	2.047233e+000	5.000011e+000	1.882958e-001
2.079528001071872e-002	1.988200e+000	5.000000e+000	2.047200e+000	5.000022e+000	1.882976e-001
2.079528496937145e-002	1.988212e+000	5.000000e+000	2.047150e+000	5.000011e+000	1.883017e-001
2.079528928613320e-002	1.988223e+000	5.000000e+000	2.047107e+000	5.000000e+000	1.883062e-001
2.079529388547647e-002	1.988235e+000	5.000000e+000	2.047061e+000	5.000001e+000	1.883101e-001
2.079529910642071e-002	1.988248e+000	5.000000e+000	2.047009e+000	5.000000e+000	1.883140e-001
2.079530954830918e-002	1.988274e+000	5.000000e+000	2.046905e+000	5.000000e+000	1.883220e-001
2.079533043208612e-002	1.988326e+000	5.000000e+000	2.046696e+000	5.000000e+000	1.883378e-001
2.079536034075614e-002	1.988401e+000	5.000000e+000	2.046396e+000	5.000000e+000	1.883605e-001
2.079539663787721e-002	1.988492e+000	5.000000e+000	2.046034e+000	5.000000e+000	1.883882e-001
2.079545716153572e-002	1.988643e+000	5.000000e+000	2.045428e+000	5.000000e+000	1.884343e-001
2.079556060932975e-002	1.988901e+000	5.000000e+000	2.044394e+000	5.000000e+000	1.885133e-001
2.079570969639660e-002	1.989274e+000	5.000000e+000	2.042903e+000	5.000000e+000	1.886272e-001
2.079592037340583e-002	1.989801e+000	5.000000e+000	2.040796e+000	5.000000e+000	1.887882e-001
2.079623699417970e-002	1.990592e+000	5.000000e+000	2.037630e+000	5.000000e+000	1.890302e-001
2.079666099129353e-002	1.991652e+000	5.000000e+000	2.033390e+000	5.000000e+000	1.893544e-001
2.079726242156499e-002	1.993156e+000	5.000000e+000	2.027376e+000	5.000000e+000	1.898144e-001
2.079789898025156e-002	1.994747e+000	5.000000e+000	2.021010e+000	5.000000e+000	1.903018e-001
2.079835702079710e-002	1.995893e+000	5.000000e+000	2.016430e+000	5.000000e+000	1.906528e-001
2.079897869879737e-002	1.997447e+000	5.000000e+000	2.010213e+000	5.000000e+000	1.911296e-001
2.079991477841313e-002	1.999787e+000	5.000000e+000	2.000852e+000	5.000000e+000	1.918481e-001
2.080138301971152e-002	2.003458e+000	5.000000e+000	1.986170e+000	5.000000e+000	1.929762e-001
2.080307035994973e-002	2.007676e+000	5.000000e+000	1.969296e+000	5.000000e+000	1.942734e-001
2.080563536773204e-002	2.014088e+000	5.000000e+000	1.943646e+000	5.000000e+000	1.962449e-001
2.080883365668890e-002	2.022084e+000	5.000000e+000	1.911663e+000	5.000000e+000	1.986933e-001
2.081410545810515e-002	2.035264e+000	5.000000e+000	1.858945e+000	5.000000e+000	2.026602e-001
2.082206872710901e-002	2.055172e+000	5.000000e+000	1.779313e+000	5.000000e+000	2.081729e-001
2.083527832475545e-002	2.088196e+000	5.000000e+000	1.647217e+000	5.000000e+000	2.140552e-001
2.085089451332025e-002	2.127236e+000	5.000000e+000	1.491055e+000	5.000000e+000	2.109230e-001
2.086777460300927e-002	2.169436e+000	5.000000e+000	1.322254e+000	5.000000e+000	2.014391e-001
2.087640712923077e-002	2.191018e+000	5.000000e+000	1.235929e+000	5.000009e+000	2.047714e-001
2.087705942499423e-002	2.192649e+000	5.000000e+000	1.229406e+000	5.000007e+000	2.072877e-001
2.087836401652116e-002	2.195910e+000	5.000000e+000	1.216360e+000	5.000000e+000	2.193991e-001
2.088023860378917e-002	2.200597e+000	5.000000e+000	1.197614e+000	5.000000e+000	2.563480e-001
2.088139687607939e-002	2.203492e+000	5.000000e+000	1.186031e+000	5.000000e+000	3.285867e-001
2.088263718881419e-002	2.206593e+000	5.000000e+000	1.173628e+000	5.000000e+000	4.859254e-001
2.088278823465197e-002	2.206971e+000	5.000000e+000	1.172118e+000	5.000000e+000	5.146410e-001
2.088309032632753e-002	2.207726e+000	5.000000e+000	1.169097e+000	5.000000e+000	5.795435e-001
2.088315577950021e-002	2.207890e+000	5.000000e+000	1.168442e+000	5.000000e+000	5.987971e-001
2.088324529626820e-002	2.208113e+000	5.000000e+000	1.167547e+000	5.000000e+000	6.733952e-001
2.088329516926347e-002	2.208238e+000	5.000000e+000	1.167048e+000	5.000000e+000	8.347511e-001
2.088333601871230e-002	2.208340e+000	5.000000e+000	1.166640e+000	5.000000e+000	1.108963e+000
2.088334271757618e-002	2.208357e+000	5.000000e+000	1.166573e+000	5.000000e+000	1.147804e+000
2.088335611530394e-002	2.208390e+000	5.000000e+000	1.166439e+000	5.000000e+000	1.171782e+000
2.088337537024552e-002	2.208438e+000	5.000000e+000	1.166246e+000	5.000000e+000	1.171688e+000
2.088339664109420e-002	2.208492e+000	5.000000e+000	1.166034e+000	5.000000e+000	1.168367e+000
2.088342109204406e-002	2.208553e+000	5.000000e+000	1.165789e+000	5.000000e+000	1.166806e+000
2.088344530235146e-002	2.208613e+000	5.000000e+000	1.165547e+000	5.000000e+000	1.166015e+000
2.088347671352793e-002	2.208692e+000	5.000000e+000	1.165233e+000	5.000000e+000	1.165521e+000
2.088351301123222e-002	2.208782e+000	5.000000e+000	1.164870e+000	5.000000e+000	1.165079e+000
2.088357894637720e-002	2.208947e+000	5.000000e+000	1.164211e+000	5.000000e+000	1.164355e+000
2.088369711757879e-002	2.209243e+000	5.000000e+000	1.163029e+000	5.000000e+000	1.163120e+000
2.088384266066837e-002	2.209607e+000	5.000000e+000	1.161573e+000	5.000000e+000	1.161638e+000
2.088409128814069e-002	2.210228e+000	5.000000e+000	1.159087e+000	5.000000e+000	1.159130e+000
2.088443031953615e-002	2.211076e+000	5.000000e+000	1.155697e+000	5.000000e+000	1.155727e+000
2.088498838657172e-002	2.212471e+000	5.000000e+000	1.150116e+000	5.000000e+000	1.150135e+000
2.088575540858637e-002	2.214389e+000	5.000000e+000	1.142446e+000	5.000000e+000	1.142458e+000
2.088694903159266e-002	2.217373e+000	5.000000e+000	1.130510e+000	5.000000e+000	1.130515e+000
2.088864104308060e-002	2.221603e+000	5.000000e+000	1.113590e+000	5.000000e+000	1.113592e+000
2.088994571179257e-002	2.224864e+000	5.000000e+000	1.100543e+000	5.000000e+000	1.100544e+000
2.089152889168158e-002	2.228822e+000	5.000000e+000	1.084711e+000	5.000000e+000	1.084712e+000
2.089350326733837e-002	2.233758e+000	5.000000e+000	1.064967e+000	5.000000e+000	1.064968e+000
2.089716475398120e-002	2.242912e+000	5.000000e+000	1.028352e+000	5.000000e+000	1.028353e+000
2.090165369713378e-002	2.254134e+000	5.000000e+000	9.834630e-001	5.000000e+000	9.834637e-001
2.090917437253104e-002	2.272936e+000	5.000000e+000	9.082563e-001	5.000000e+000	9.082569e-001
2.092095389530561e-002	2.302385e+000	5.000000e+000	7.904611e-001	5.000000e+000	7.904615e-001
2.094186600410146e-002	2.354665e+000	5.000000e+000	5.813400e-001	5.000000e+000	5.813405e-001
2.096570878825858e-002	2.414272e+000	5.000000e+000	3.429121e-001	5.000000e+000	3.429125e-001
2.100000000000000e-002	2.500000e+000	5.000000e+000	3.907985e-014	5.000000e+000	-1.594516e-005
2.100212136106779e-002	2.505303e+000	4.989393e+000	1.302662e-014	5.000000e+000	-5.287910e-006
2.100636408320337e-002	2.515910e+000	4.968180e+000	0.000000e+000	5.000000e+000	4.037462e-008
2.101484952747454e-002	2.537124e+000	4.925752e+000	0.000000e+000	5.000000e+000	4.034159e-008
2.103182041601688e-002	2.579551e+000	4.840898e+000	0.000000e+000	5.000000e+000	4.064784e-008
2.106576219310155e-002	2.664406e+000	4.671189e+000	0.000000e+000	5.000000e+000	4.138370e-008
2.110482469310155e-002	2.762062e+000	4.475876e+000	0.000000e+000	5.000000e+000	4.210439e-008
2.114388719310155e-002	2.859718e+000	4.280564e+000	0.000000e+000	5.000000e+000	4.272214e-008
2.118294969310155e-002	2.957374e+000	4.085251e+000	0.000000e+000	5.000000e+000	4.327708e-008
2.122201219310155e-002	3.055031e+000	3.889939e+000	0.000000e+000	5.000000e+000	4.365212e-008
2.126107469310155e-002	3.152687e+000	3.694627e+000	0.000000e+000	5.000000e+000	4.378309e-008
2.130013719310155e-002	3.250343e+000	3.499314e+000	0.000000e+000	5.000000e+000	4.381871e-008
2.133919969310155e-002	3.347999e+000	3.304002e+000	0.000000e+000	5.000000e+000	4.385025e-008
2.137826219310154e-002	3.445656e+000	3.108689e+000	0.000000e+000	5.000000e+000	4.387913e-008
2.141732469310154e-002	3.543312e+000	2.913377e+000	0.000000e+000	5.000000e+000	4.390938e-008
2.145638719310154e-002	3.640968e+000	2.718064e+000	0.000000e+000	5.000000e+000	4.406119e-008
2.149544969310154e-002	3.738624e+000	2.522752e+000	0.000000e+000	5.000000e+000	4.446388e-008
2.153451219310154e-002	3.836281e+000	2.327439e+000	0.000000e+000	5.000000e+000	4.506188e-008
2.157357469310154e-002	3.933937e+000	2.132127e+000	0.000000e+000	5.000000e+000	4.552094e-008
2.157513835436307e-002	3.937846e+000	2.124308e+000	0.000000e+000	5.000000e+000	4.564246e-008
2.157826567688614e-002	3.945664e+000	2.108672e+000	0.000000e+000	5.000000e+000	4.591504e-008
2.158110661103489e-002	3.952766e+000	2.094467e+000	0.000000e+000	5.000000e+000	4.598891e-008
2.158283758129082e-002	3.957094e+000	2.085812e+000	0.000000e+000	5.000000e+000	4.603531e-008
2.158396759642710e-002	3.959919e+000	2.080162e+000	0.000000e+000	5.000000e+000	4.606652e-008
2.158473108362032e-002	3.961828e+000	2.076344e+000	0.000000e+000	5.000000e+000	4.608783e-008
2.158560074807236e-002	3.964002e+000	2.071996e+000	0.000000e+000	5.000000e+000	4.611264e-008
2.158603628286627e-002	3.965091e+000	2.069818e+000	0.000000e+000	5.000000e+000	4.612468e-008
2.158631425607586e-002	3.965786e+000	2.068429e+000	0.000000e+000	5.000000e+000	4.613301e-008
2.158655300793227e-002	3.966383e+000	2.067235e+000	0.000000e+000	5.000002e+000	4.613994e-008
2.158683225976029e-002	3.967081e+000	2.065839e+000	0.000000e+000	5.000006e+000	4.613753e-008
2.158685652286977e-002	3.967141e+000	2.065717e+000	0.000000e+000	5.000007e+000	4.614123e-008
2.158690504908875e-002	3.967263e+000	2.065475e+000	0.000000e+000	5.000010e+000	4.615020e-008
2.158700210152669e-002	3.967505e+000	2.064990e+000	0.000000e+000	5.000019e+000	4.615295e-008
2.158706800365684e-002	3.967670e+000	2.064660e+000	0.000000e+000	5.000035e+000	4.615479e-008
2.158711813894196e-002	3.967795e+000	2.064409e+000	0.000000e+000	5.000096e+000	4.615633e-008
2.158715324149831e-002	3.967883e+000	2.064234e+000	0.000000e+000	5.000333e+000	4.615724e-008
2.158717763684331e-002	3.967944e+000	2.064112e+000	0.000000e+000	5.000912e+000	4.616134e-008
2.158718809491122e-002	3.967970e+000	2.064059e+000	0.000000e+000	5.001508e+000	4.614215e-008
2.158719459030765e-002	3.967987e+000	2.064027e+000	0.000000e+000	5.002292e+000	4.622810e-008
2.158719834593669e-002	3.967996e+000	2.064008e+000	0.000000e+000	5.003309e+000	4.608050e-008
2.158720145478847e-002	3.968004e+000	2.063993e+000	0.000000e+000	5.005054e+000	4.639189e-008
2.158720341570236e-002	3.968009e+000	2.063983e+000	0.000000e+000	5.007330e+000	4.597143e-008
2.158720498752896e-002	3.968013e+000	2.063975e+000	0.000000e+000	5.009767e+000	4.589046e-008
2.158720616043286e-002	3.968015e+000	2.063969e+000	0.000000e+000	5.004429e+000	4.712797e-008
2.158720735531351e-002	3.968018e+000	2.063963e+000	0.000000e+000	4.962663e+000	4.694279e-008
2.158720865392796e-002	3.968022e+000	2.063957e+000	0.000000e+000	4.804603e+000	4.430330e-008
2.158721022444043e-002	3.968025e+000	2.063949e+000	0.000000e+000	4.444729e+000	5.122847e-008
2.158721038610657e-002	3.968026e+000	2.063948e+000	0.000000e+000	4.384887e+000	5.205359e-008
2.158721070943884e-002	3.968027e+000	2.063946e+000	0.000000e+000	4.202971e+000	4.919880e-008
2.158721135610340e-002	3.968028e+000	2.063943e+000	0.000000e+000	3.495856e+000	4.152071e-008
2.158721187631682e-002	3.968030e+000	2.063941e+000	0.000000e+000	2.241677e+000	3.992497e-008
2.158721189959278e-002	3.968030e+000	2.063941e+000	0.000000e+000	1.959137e+000	4.899521e-008
